provider_id,first_name,last_name,specialty,license_number,phone_number,email,clinic_location
1,Danielle,Johnson,Urology,LIC216739,332-181-9600x133,danielle.johnson@guzman.net,Downtown Medical Center
2,Robert,Cole,Gastroenterology,LIC388389,026-542-3511x615,robert.cole@munoz-roman.info,Westside Clinic
3,Amanda,Dudley,Cardiology,LIC246316,(184)959-3103x4131,amanda.dudley@ramirez-reid.com,Central Wellness Center
4,Francisco,Kelly,Internal Medicine,LIC809570,+1-419-283-2764x83503,francisco.kelly@trujillo.com,Central Wellness Center
5,Carl,Gentry,Oncology,LIC191161,001-537-672-4238,carl.gentry@baker.biz,Northside Family Practice
6,Michael,Osborn,Psychiatry,LIC133326,(871)012-2691,michael.osborn@james-ferrell.net,Downtown Medical Center
7,John,Tran,Internal Medicine,LIC329258,1845146270,john.tran@liu.com,Westside Clinic
8,William,Rodriguez,Oncology,LIC731262,+1-489-325-2880x9570,william.rodriguez@hickman.com,Downtown Medical Center
9,Brian,Humphrey,Oncology,LIC308496,171-822-7824,brian.humphrey@brennan.net,Central Wellness Center
10,Karina,Vaughn,Urology,LIC835392,001-465-787-1331x509,karina.vaughn@hall.com,Northside Family Practice
11,Jeremy,Whitehead,Psychiatry,LIC331148,183-473-8299x73763,jeremy.whitehead@davis.com,East Valley Medical
12,Rodney,Owens,Neurology,LIC391704,001-010-651-3338x7262,rodney.owens@ford-baxter.com,Downtown Medical Center
13,Scott,Callahan,Pediatrics,LIC832052,-2797,scott.callahan@hancock.com,East Valley Medical
14,Nicholas,Galloway,Dermatology,LIC391369,746-872-3430x980,nicholas.galloway@edwards.net,Westside Clinic
15,Eric,Yu,Cardiology,LIC900581,219-136-1939,eric.yu@williams.org,Uptown Health Hub
16,Alexandra,Donovan,Internal Medicine,LIC197251,534.624.7510,alexandra.donovan@howell-hart.com,East Valley Medical
17,Charles,Lewis,Internal Medicine,LIC476417,251-354-2784x980,charles.lewis@montoya.com,Uptown Health Hub
18,Joseph,Preston,Neurology,LIC377370,001-824-493-5348x7401,joseph.preston@henderson.com,Downtown Medical Center
19,Dana,Green,Gastroenterology,LIC581741,001-786-801-1280x5982,dana.green@anderson-parker.com,Northside Family Practice
20,Rachel,Clark,Internal Medicine,LIC496922,158.692.3226,rachel.clark@white.biz,Downtown Medical Center
21,Leah,Shields,Oncology,LIC407419,421.607.3375,leah.shields@hoover-savage.com,Central Wellness Center
22,Andrew,Lee,Neurology,LIC479201,414-586-8501x42940,andrew.lee@carlson.com,Northside Family Practice
